question,intent,response
which areas do you deliver to,delivery,We deliver throughout Nairobi Metropolitan and nationwide via courier.
do you deliver internationally,delivery,We currently only deliver within Kenya through our nationwide courier services.
how do i pay for delivery,delivery,We accept M-Pesa for delivery payments and cash on delivery within Nairobi.
is there a minimum order for delivery,delivery,"No minimum order for delivery, but delivery charges apply for orders under KES 5,000."
delivery?,delivery,"Yes, we deliver within Nairobi and countrywide."
deliver to Kisumu?,delivery,"Yes! We ship to Kisumu via G4S or Fargo, 1 or 2 days."
do you deliver upcountry?,delivery,"Yes, we deliver to all towns in Kenya through courier."
can you ship to Mombasa?,delivery,"Yes, we can send to Mombasa. Delivery normally takes 1 or 2 days"
what payment methods do you accept,payment,We accept MPESA and cash for all purchases.
how can i pay for books,payment,You can pay using MPESA or cash at our store.
do you accept mpesa,payment,"Yes, we accept MPESA payments for both in-store and delivery orders."
can i pay with cash,payment,We accept cash payments at our store location.
what are my payment options,payment,We accept MPESA and cash as payment methods.
do you take mpesa payments,payment,"Yes, we accept MPESA. You can pay via MPESA for delivery or in-store purchases."
do you accept credit cards,payment,We currently only accept MPESA and cash payments.
can i pay with debit card,payment,"We accept MPESA and cash, but not debit cards at the moment."
do you accept bank transfers,payment,We accept MPESA and cash payments for quicker processing.
can i pay online,payment,"For online orders, we accept MPESA as the payment method."
payment?,payment,We accept MPESA and cash.
mpesa?,payment,"Yes, MPESA is available."
cash accepted?,payment,"Yes, you can pay cash on delivery in Nairobi."
what is your phone number,contact,You can call us at 0712 345 678 or 0701 234 567 during business hours.
how can i contact you,contact,"Call us at 0712 345 678, email nairobibookhaven@gmail.com, or visit our store."
do you have email,contact,Yes! Email us at nairobibookhaven@gmail.com for any inquiries.
whats your phone contact,contact,Our phone numbers are 0712 345 678 and 0701 234 567. We're available during store hours.
can i call your store,contact,Absolutely! Call us at 0712 345 678 from 9AM-5PM weekdays or 9AM-4PM Saturdays.
contact information,contact,Phone: 0712 345 678 / 0701 234 567 | Email: nairobibookhaven@gmail.com | Visit: Muindi Mbingu Street
contact?,contact,You can reach us at 0712 345 678.
phone number?,contact,Our number is 0712 345 678.
how do I call you?,contact,Call us anytime at 0712 345 678.
thank you,thanks,You're welcome! Happy reading and visit us at Muindi Mbingu Street!
thanks,thanks,My pleasure! We're at Mapala House if you'd like to visit in person.
thank you so much,thanks,You're very welcome! Enjoy your books and see you soon!
i appreciate your help,thanks,Glad I could assist! Don't hesitate to reach out if you need more book recommendations.
bye,goodbye,Thank you for visiting Nairobi Book Haven! See you at Muindi Mbingu Street!
goodbye,goodbye,"Thanks for chatting! Come visit us at Mapala House, Muindi Mbingu Street."
see you later,goodbye,"Looking forward to your visit! We're at Mapala House, 1st Floor, Room 12."
